年份,钢材进口量(万吨),铜及铜合金进口量(万吨),铝及铝合金进口量(万吨),肥料进口量(万吨),纸浆进口量(万吨),纺织用合成纤维进口量(万吨),水泥出口量(万吨),平板玻璃出口量(万平方米),钢材出口量(万吨),铜材出口量(吨),铝材出口量(吨),锌及锌合金出口量(吨),纸及纸板出口量(万吨),,,
2017,1330,,,918,2372,40,1286,21032,7541,477989,4240000,,652,,,
2016,1322,,,832,2107,32,1785,22661,10853,452313,4070000,,683,,,
2015,1278,425,22,1116,1984,34,1575,21460,11240,466077,4195160,96683,593,,,
2014,1443,422,35,959,1796,34,1391,21896,9378,507858,3668648,132719,630,,,
2013,1408,389,48,793,1685,38,1454,19506,6233,488978,3070000,5395,565,,,
2012,1366,398,64,843,1646,33,1200,17632,5573,492980,2830000,7937,471,,,
2011,1558,329,33,795,1445,35,1061,18726,4888,500347,3000000,48369,450,,,
2010,1643,338,36,718,1137,37,1616,17398,4256,508580,2180000,43395,380,,,
2009,1763,347,174,411,1368,35,1561,16643,2460,455136,1390000,29287,362,,,
2008,1543,170,26,622,952,32,2604,27762,5923,517522,1900000,71320,361,,,
2007,1687,173,28,1169,847,51,3301,30917,6265,499678,1853413,276714,422,,,
2006,1851,97,51,1129,796,62,3613,26433,4301,559122,1240157,341465,305,,,
2005,2582,142,64,1397,759,84,2216,19925,2052,463560,711484,146845,167,,,
2004,2930,138,103,1240,732,99,704,14464,1423,390023,430988,263149,101,,,
2003,3717,156,88,1213,603,106,533,12427,696,232879,273874,484231,114,,,
2002,2449,133,58,1682,526,104,518,11359,545,171710,188744,495987,74,,,
2001,1722,95,53,1092,490,92,621,6123,474,123790,135630,562021,68,,,
2000,1596,81,91,1189,335,100,605,5592,621,144484,130052,593336,65,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
